"","actor","receiver","grooming.sec","observation.hours","observation.seconds","grooming.rate","actor.sex","receiver.sex"
"1275","sss","ss",621,31,111600,0.00556451612903226,"F","F"
"1276","sss","tes",120,38,136800,0.00087719298245614,"F","F"
"1277","sss","una",85,21,75600,0.00112433862433862,"F","F"
"1278","tes","c",87,30,108000,0.000805555555555556,"F","F"
"1279","tes","cat",11,26,93600,0.000117521367521368,"F","F"
"1280","tes","cc",82,30,108000,0.000759259259259259,"F","F"
"1281","tes","ccc",387,30,108000,0.00358333333333333,"F","F"
"1282","tes","ccs",329,40,144000,0.00228472222222222,"F","F"
"1283","tes","cd",0,25,90000,0,"F","F"
"1284","tes","cs",21,22,79200,0.000265151515151515,"F","F"
"1285","tes","csc",0,1,3600,0,"F","F"
"1286","tes","d",49,30,108000,0.000453703703703704,"F","F"
"1287","tes","dcd",16,25,90000,0.000177777777777778,"F","F"
"1288","tes","dd",304,30,108000,0.00281481481481481,"F","F"
"1289","tes","ddd",0,12,43200,0,"F","M"
"1290","tes","ddld",0,20,72000,0,"F","F"
"1291","tes","dld",22,30,108000,0.000203703703703704,"F","M"
"1292","tes","dos",1061,25,90000,0.0117888888888889,"F","F"
"1293","tes","dr",0,21,75600,0,"F","F"
"1294","tes","ds",27,5,18000,0.0015,"F","F"
"1295","tes","eve",333,30,108000,0.00308333333333333,"F","F"
"1296","tes","ivy",294,30,108000,0.00272222222222222,"F","F"
"1297","tes","ld",41,30,108000,0.00037962962962963,"F","F "
"1298","tes","ldc",11,26,93600,0.000117521367521368,"F","M"
"1299","tes","ldd",6,25,90000,6.66666666666667e-05,"F","M"
"1300","tes","lds",27,31,111600,0.000241935483870968,"F","F "
"1301","tes","lsd",0,4,14400,0,"F","F"
"1302","tes","no.band",0,16,57600,0,"F","F"
"1303","tes","ola",1516,30,108000,0.014037037037037,"F","F"
"1304","tes","r",231,30,108000,0.00213888888888889,"F","F"
"1305","tes","rc",73,30,108000,0.000675925925925926,"F","F"
"1306","tes","s",10,31,111600,8.96057347670251e-05,"F","F"
"1307","tes","sc",150,38,136800,0.00109649122807018,"F","F"
"1308","tes","scs",0,29,104400,0,"F","F"
"1309","tes","sd",0,29,104400,0,"F","F"
"1310","tes","sld",0,17,61200,0,"F","M"
"1311","tes","son.of.ola",366,30,108000,0.00338888888888889,"F","M"
"1312","tes","ss",0,27,97200,0,"F","F"
"1313","tes","sss",193,38,136800,0.00141081871345029,"F","F"
"1314","tes","una",1974,29,104400,0.0189080459770115,"F","F"
