"alicia","bat2","bat3","bat4","bat5","bat6","bat7","bella","betty","black-panther","c","cat","cc","ccc","ccs","cerce","cerceson","cindy","cs","d","dcd","dd","ddld","eve","falcon","flapper","fran","gayle","gremlin","hera","hilga","hulk","jenna-bat","jupiter","kelly","ldc","lds","lsd","mabel","marce","no-band","ola","opal","piper","queen","r","rc","rina","s","sam6","sc","scc","scs","sd","shania","sheldon","six","snow","son-of-ola","speedster","ss","sss","streblick","vampison","vixen","zaria","zelda"
0,2.09459357488361,2.6006172746569,1.84486813538038,1.65308442262421,1.64171153480423,1.98114892410744,1.57060243566415,1.9185337666879,1.8663953035641,2.03971979472687,1.75243291133455,2.23345273525322,2.50700984172768,1.93377372414079,1.67867141309906,2.68226442406425,1.52559957000585,1.49028530575903,1.52145915284356,1.83949123687084,2.43540853589558,1.89118237278535,2.25473973650596,1.81182278678181,1.76179337207011,1.87152312330528,2.40811438407364,1.58549410031489,2.27422354318512,1.86537885131287,1.42244348537219,1.76062160125992,2.40477370020664,1.51182153542482,3.442068756406,1.51761636146153,1.76629009328253,1.93132953193505,1.86570308120763,1.94621026115638,2.32316322928871,1.89112021172041,1.54929762389628,1.79793868534076,2.98195288692513,2.04138192382539,2.34891839548657,2.18766163874543,2.03174732939201,1.83838948566911,2.0051057734196,2.15185327091704,2.15723597593071,2.60507656378743,1.81469597867472,2.38810375413,2.58417235511153,2.05963336806054,1.83153204105206,1.75084203230913,1.46351791779123,3.79718049068729,2.19905949988954,1.09424755087854,1.4287814608533,1.47409564729444
2.09459357488361,0,2.91515707827394,2.44668975257897,2.39853051678108,2.29668201094317,2.6552264423665,2.0490766527246,1.77799137306812,1.72321901892801,3.10626416825534,2.42619881999565,2.22287535013279,2.39428841915275,1.56245850036569,1.98971172308243,3.37424260267397,2.14801014298678,2.13626391651272,1.97707096406193,2.1782974823314,2.75344650657155,2.10831709786145,1.52639887905228,2.32066468970609,2.27228144312124,2.55759268756642,3.16660888355282,1.74331553468515,2.7895539100277,2.42781609016956,2.18119414999461,2.1967558952846,2.73583198105812,2.48510718119785,3.50464384086194,1.61291650101313,1.31447064494024,2.58158148572576,1.82558362911987,2.06282618761335,2.12091965548091,2.64689608021493,2.57234543286804,2.84086822363616,3.69400357341741,2.39843561493554,3.68537052550315,2.04066407195205,2.62192530143307,2.21304406857543,1.95978189740928,1.70221811981849,2.4870680210967,3.52951037606676,1.7568456055544,1.97144507034759,3.19606337909232,1.59010156627064,1.79718723413081,2.11830249189201,1.51234781497061,3.97306469050782,2.45062849911049,2.10981369889554,1.75388268549757,2.70581751766263
2.6006172746569,2.91515707827394,0,2.00088798844747,2.89593545949034,1.7781852469702,2.7451210878159,2.59674468699319,2.98042068665127,2.15036814202422,3.13854504937326,2.40717916446495,2.71001305586016,2.81973813629698,2.54268700147633,1.81420818029194,2.00717461947525,3.00313615483175,2.6290283932481,2.6238132495975,2.53416370452525,3.00829949443115,2.39226240800404,2.43853513997601,2.72775066201836,3.27007697024927,3.45844409960114,3.85104405794108,2.60282128700841,2.83792505083149,2.99463056337212,2.59563634519561,2.04123480686394,2.71691392308733,2.97830058367162,4.62933726325068,2.69080319026561,2.27497368592127,3.49238357733122,1.9362681481338,2.97473548963717,2.72283852998718,3.48171627213764,3.41891821781652,3.24974510095136,3.91811896562891,2.71566021222042,3.15338921197737,2.52753240694895,2.88927351496173,1.84467038746862,2.71898085205371,3.26949476022903,2.87979279551652,3.82233574746131,2.48024703861073,2.5878467039342,2.85783407961716,2.10950791604777,2.9311361904737,2.83892587948658,2.63325592353347,3.47554482151813,2.24451330280463,2.48225178003917,2.31725141246908,3.15303187142901
1.84486813538038,2.44668975257897,2.00088798844747,0,1.65903398525471,1.85502619207041,1.71545587518789,1.5438880744159,2.67728095106917,1.99396921969265,2.1471619872642,1.99635720664712,2.70048395390144,2.42369669699878,2.06859192412342,1.46344704679698,2.9956920533746,2.6293707706066,2.092059211958,1.79269574736749,1.66359782328892,1.90438990876813,1.78597250752467,2.35981737189164,1.67527519095134,2.02168422042369,2.80227112199439,3.02635110629172,1.95295372828377,2.87192764999282,2.05892089093018,1.95253658435539,1.7723774540672,2.935061578215,2.10643037693716,4.50258300003497,2.0551305900111,2.02404643021777,3.14461777647053,1.75183089139371,2.30409801709873,2.20478507582269,2.98453597826012,2.05764556161869,2.69760775723201,3.40750416538224,1.24141649227391,2.53676812756807,2.12455241585918,2.32538023087274,1.57286549091293,2.13150959719926,2.87282509413156,1.84466074352823,3.0141151501992,1.79148235639557,2.0344306965796,1.95956131371359,1.99364839683673,2.25370356149485,2.39360537393153,2.04774172113035,3.14205275129942,2.73187516534835,1.87359637011822,1.58642830518059,2.71101215253356
1.65308442262421,2.39853051678108,2.89593545949034,1.65903398525471,0,2.2059799982108,1.70753041163214,1.80189939328678,2.37126691170459,2.11504164864843,2.2979596854629,1.58722813003044,2.71242179218853,2.69376210497654,1.9311246914295,1.84750876086568,3.31829180454031,2.44339980613789,1.83560370063724,1.69604269364606,1.46159981646098,1.81803547970612,1.61448134455998,2.56598057239207,1.33678742808066,1.53314168988628,2.23703785777134,2.54631258091037,1.7849365777577,2.57088566014098,1.43593527872297,1.95515386331358,2.10284768012853,2.94986156426569,1.98257218574139,3.97056974794655,1.74952787839087,1.96058058529236,2.69471945104429,2.12095448512965,1.6722155915164,2.03370613030565,2.46035786199379,1.30577030143349,2.41391932442738,3.18466959614056,1.59581436322617,2.34079864852167,2.28347093011416,1.6022962698159,1.93978522892287,1.80501534350901,2.49195211309313,1.84310820335342,2.81397753332324,1.92631506741777,2.31929172935899,1.81451132958603,2.15514066468139,1.91029991203054,2.23171940409226,1.62151075829542,3.73969386908645,2.8124786683112,1.37671776470147,1.6002537940549,2.26676625491376
1.64171153480423,2.29668201094317,1.7781852469702,1.85502619207041,2.2059799982108,0,2.02882090449214,2.25835903204689,2.19341969783638,1.87494420192373,2.55927803174791,1.7213372108148,2.33005827796392,2.51927477104548,1.96547056366332,1.6998719310121,2.13833753922654,2.17550347977165,1.70323555831417,1.99707411922962,2.03064572395507,2.75353380750746,2.09132317462576,1.78808839114205,2.15724973619118,2.5193478713753,2.43281802922377,2.89851518301115,2.17098003577275,2.24330438031849,2.23334417380456,2.12696673578355,1.7564975618852,2.29332905206918,2.42362562976249,3.77806404732943,1.8250863494094,1.5344540937131,2.50829899952929,1.94440626204486,2.01840213203903,2.12160758974936,2.62302475075178,2.54680334302971,2.56483900870812,3.27951635499228,2.37097485828072,2.86549544504935,2.08715994326855,2.41633140543814,1.64818131023773,2.04661775645677,2.20609062734013,2.50642694090478,3.39147731839762,2.11283390126776,2.07127819481439,2.85435121681795,1.62263278373351,2.33992930359818,2.28645621369398,1.70451250695241,4.14313640399493,2.08114668928307,1.7183053273492,1.76808022605782,2.22868146584199
1.98114892410744,2.6552264423665,2.7451210878159,1.71545587518789,1.70753041163214,2.02882090449214,0,2.38950256525473,2.4654337103798,2.34197483967295,2.0765719941698,2.03506258901789,2.72524445321943,2.73792253234485,1.82429529646252,1.93384445604615,3.2812117886912,2.4147166554454,1.59777676177269,1.9097017398888,1.45474077260248,2.17824327697413,2.23402073909306,2.45068012538058,2.02831703280955,2.30111653277189,2.50116211162194,2.48798184595446,1.97414648887435,2.75733688865581,1.75305688011073,2.04672019962186,1.84362302067695,3.06990235691608,2.51968877405665,4.27925105197293,2.10042751468873,2.11045198009416,2.87575673629833,2.41539947801215,1.8887408887232,2.09245280400105,3.27720345005207,2.02198221680356,2.80232697859259,3.01876090261303,2.11100669509243,3.04643503427547,1.90401583818345,2.36626530234961,1.60447615271055,1.6666733025051,2.34197590050934,2.29318175137715,3.72740107315016,2.4207289410033,1.94672520384954,2.17019158537846,1.97518389171395,2.70696375840912,2.68317192989176,1.81443048825089,4.13322223900083,2.8799719396439,1.80315446946472,1.90032633690146,2.86197559249264
1.57060243566415,2.0490766527246,2.59674468699319,1.5438880744159,1.80189939328678,2.25835903204689,2.38950256525473,0,2.59574009003558,2.06139186130665,2.71665058065893,2.05071379632181,2.74752572057343,2.6800018315399,2.23420448926525,1.56309240839837,2.84442543087834,2.48240390671796,2.406855398257,1.9947971330944,2.20592783149328,2.28643379191416,1.72052813885574,2.57571754086968,1.80479464957389,1.30170649905821,2.86856794795667,3.31833787018861,1.65815157336892,2.95230062741467,2.3729868924743,2.07359748167724,2.17769983929078,2.84580360942181,1.60269271144054,4.45594771934991,2.0948632771881,2.1225349108353,2.98104409295637,1.75190600536235,2.51496564377656,2.64574410936143,2.41620275773651,1.89817782634115,1.99025745403148,3.7112879614516,1.77426736014638,2.34717396168312,2.58676070349074,2.47838199142947,2.17350905945284,2.45383042210917,2.77073603527655,2.05928197930464,2.29173972706603,1.30274835546492,2.55285147508064,2.53688759699444,2.18819873391942,1.26382204938077,1.99132027379263,2.0872969601842,3.00765656706613,2.14794296995597,1.72921561500707,1.19692006455696,2.1485484426196
1.9185337666879,1.77799137306812,2.98042068665127,2.67728095106917,2.37126691170459,2.19341969783638,2.4654337103798,2.59574009003558,0,1.42337025332123,2.54399117331399,2.14359531420439,1.28346323758084,2.23844255222081,1.14323532060995,2.23901967721322,3.23872512406366,1.28654648640595,1.32248698667496,1.26207712605383,1.65921895528811,2.39972294831728,2.00508898391987,1.96982006976828,2.11594854709232,2.80976730471972,1.62932518754334,2.7201087443135,1.593781587714,2.06589015155248,1.90648739902426,1.50693395950152,1.48586587050356,2.03209844602683,2.50332072580901,3.00499211118677,1.67825496781124,1.4707756261146,1.34852802264147,2.06061785992044,1.54506003319493,2.08139949014189,2.28929730883323,2.736586623332,2.45707463565827,3.17964042361977,2.43641938693426,3.48655197609828,1.5761979355127,2.05360029262719,1.86463988113521,1.15731997519478,1.42495523283447,2.26141568794221,3.50095500378427,2.56186139006992,2.21216110587317,2.89322829006262,1.83659059363175,2.55246366175839,2.0826355937034,1.26445715315124,4.37504993905699,2.50558422102926,1.62650212965184,2.0987551535745,2.24935963543833
1.8663953035641,1.72321901892801,2.15036814202422,1.99396921969265,2.11504164864843,1.87494420192373,2.34197483967295,2.06139186130665,1.42337025332123,0,2.55429181389087,2.06495301628561,1.55987447285352,2.46047738425941,1.14924642906307,1.61410158339065,2.75375450172121,1.97247561967959,1.68127178017882,1.32784773975709,1.66908769500682,2.18620621125825,1.69424954063062,1.89728798084622,1.90718966231141,2.53995914786962,2.21227711412755,3.15364899915288,1.34225277682283,2.18847620367473,1.99494370039466,1.62794207204936,1.37197837966091,2.16538694872647,2.0983595576038,3.85714030441188,1.90411250390266,1.53374888898121,2.12826561922027,1.31830333369795,1.97750834012655,2.29372100937625,2.34211869258855,2.50587372834735,2.28090206636779,3.39116982774259,1.97897089239502,3.09325942084227,1.52635847734875,2.30607287378765,1.56816560577621,1.41653065462779,2.01497679702698,2.16140762206504,3.18139374653888,2.19361633419941,2.25052792605152,2.60876815643949,1.57374709672429,2.25601076694334,2.14217232220886,1.41795986803136,3.96233987800342,2.32378928023551,1.49465827344026,1.55058936000572,2.15697625810876
