"","alicia","bat2","bat3","bat4","bat5","bat6","bat7","bella","betty","black-panther","c","cat","cc","ccc","ccs","cerce","cerceson","cindy","cs","d","dcd","dd","ddld","eve","falcon","flapper","fran","gayle","gremlin","hera","hilga","hulk","jenna-bat","jupiter","kelly","ldc","lds","lsd","mabel","marce","no-band","ola","opal","piper","queen","r","rc","rina","s","sam6","sc","scc","scs","sd","shania","sheldon","six","snow","son-of-ola","speedster","ss","sss","streblick","vampison","vixen","zaria","zelda"
"dd",0,0,8,156,213,0,13,0,745,1,35,34,0,6,0,1,0,49,0,20,2,3818,1440,0,0,5,1,34,0,6,27,10,16,15,4,0,301,0,0,6,0,120,1,305,27,63,4,0,327,1,0,0,5,112,47,0,7,40,248,1,0,42,81,14,0,1,11
"ddld",0,489,49,15,227,3,52,2,5419,10,38,448,1,64,2,0,251,783,0,36,3,807,22701,2,0,9,6,505,2,504,555,97,2,113,101,7,811,0,62,82,0,94,68,1053,260,43,0,10,230,123,0,0,110,219,155,5,9,110,751,52,35,863,380,529,2,0,11
"eve",0,51,11,2,2,0,5,0,167,2,0,2,0,2,0,0,4,30,0,0,0,3,84,0,0,1,0,9,0,3,7,0,0,38,0,0,64,0,1,0,0,10,0,31,4,1,0,0,21,0,0,0,41,0,0,0,3,1,228,1,1,34,2,12,0,0,0
"falcon",0,3,1,5,18,0,0,0,114,2,0,1,0,2,0,0,0,4,0,0,0,38,310,0,0,0,0,0,0,34,0,4,2,9,0,1,63,0,2,2,0,1,0,63,5,1,0,0,6,0,0,0,8,66,41,0,0,8,15,0,1,10,12,2,0,3,8
"flapper",0,42,14,155,144,1,21,2,226,0,5,48,0,16,0,1,16,110,0,0,2,63,454,0,0,695,0,30,1,25,21,10,8,12,36,1,227,0,2,5,0,10,88,868,247,11,0,1,47,0,0,0,135,58,246,4,4,14,133,155,2,89,96,58,1,2,14
"fran",0,5,1,52,45,0,29,0,1860,0,25,0,0,2,1,0,3,336,1,9,2,83,60,0,0,0,183,544,0,19,55,8,2,4,2,124,370,0,507,1,0,57,153,483,55,399,0,0,194,3,0,0,57,2,7,0,9,4,132,1,54,34,1,14,1,0,125
"gayle",0,34,0,6,171,1,12,0,1165,0,21,37,0,0,2,1,6,1244,6,0,0,99,173,0,0,3,6,4462,0,31,97,3,0,5,15,39,343,0,6,1,0,93,21,522,183,815,0,0,180,9,0,0,120,4,12,0,0,23,28,12,0,212,7,39,29,0,26
"gremlin",0,9,3,3,10,0,6,0,321,1,0,1,1,13,0,0,0,68,0,0,0,21,153,0,0,3,0,0,0,9,2,3,0,36,13,0,10,0,4,7,0,1,18,85,56,0,0,0,14,0,0,0,14,14,0,0,1,3,23,0,0,45,12,17,0,1,1
"hera",0,6,19,4,59,10,31,0,2850,0,2,115,27,31,1,1,68,246,0,3,0,64,1354,0,0,2,1,23,0,6381,18,18,6,9,3,3,272,0,15,7,0,68,452,152,44,27,0,7,66,6,0,0,58,25,241,0,3,16,355,2,17,29,37,84,0,0,56
"hilga",0,28,6,8,256,8,62,0,1589,0,34,148,1,4,2,0,4,455,0,15,0,487,1130,0,0,13,27,1305,0,20,592,10,1,11,25,1,314,0,28,9,0,110,8,332,77,267,1,0,295,45,0,0,33,28,8,0,0,41,58,10,2,327,122,70,8,0,2
