"","donor","receiver","possible.sec","donation.sec","kinship","donor.sex","receiver.sex","donor.age.2014.10.07","receiver.age.2014.10.07","donation.rate"
"83","bat3","snow",28800,0,0.0745,"f","f",12.35416667,1.354166667,0
"84","bat3","vampirella",25200,93,0.1432,"f","f",12.35416667,6.416666667,0.00369047619047619
"85","bat3","veronica",25200,5,0,"f","f",12.35416667,8.229166667,0.000198412698412698
"86","bat3","zaria",32400,0,0.0228,"f","f",12.35416667,2.354166667,0
"87","bat4","bat2",39600,160,0.6729,"f","f",7.5,14.33333333,0.00404040404040404
"88","bat4","bat3",39600,620,0.4625,"f","f",7.5,12.35416667,0.0156565656565657
"89","bat4","bat5",28800,120,0.3523,"f","m",7.5,NA,0.00416666666666667
"90","bat4","bat6",28800,1360,0,"f","f",7.5,NA,0.0472222222222222
"91","bat4","bella",32400,0,0,"f","f",7.5,9.916666667,0
"92","bat4","cerce",25200,0,0.0327,"f","f",7.5,13.64583333,0
"93","bat4","countess",25200,0,0,"f","f",7.5,17.20833333,0
"94","bat4","gremlin",3600,0,0.086,"f","m",7.5,1.020833333,0
"95","bat4","lily",25200,0,0,"f","f",7.5,3.041666667,0
"96","bat4","lucy",28800,0,0.1693,"f","f",7.5,8.229166667,0
"97","bat4","marce",32400,0,0,"f","f",7.5,1.479166667,0
"98","bat4","mina",18000,0,0,"f","f",7.5,9.270833333,0
"99","bat4","mya",25200,0,0,"f","f",7.5,18.75,0
"100","bat4","snow",21600,0,0.0244,"f","f",7.5,1.354166667,0
"101","bat4","vampirella",25200,0,0,"f","f",7.5,6.416666667,0
"102","bat4","veronica",25200,0,0,"f","f",7.5,8.229166667,0
"103","bat4","zaria",32400,0,0.1041,"f","f",7.5,2.354166667,0
"104","bat5","bat2",25200,0,0.2241,"m","f",NA,14.33333333,0
"105","bat5","bat3",25200,440,0.2214,"m","f",NA,12.35416667,0.0174603174603175
"106","bat5","bat4",18000,40,0.3523,"m","f",NA,7.5,0.00222222222222222
"107","bat5","bat6",28800,800,0.2571,"m","f",NA,NA,0.0277777777777778
"108","bat6","bat2",25200,920,0.2058,"f","f",NA,14.33333333,0.0365079365079365
"109","bat6","bat3",25200,0,0.349,"f","f",NA,12.35416667,0
"110","bat6","bat4",18000,0,0,"f","f",NA,7.5,0
"111","bat6","bat5",28800,0,0.2571,"f","m",NA,NA,0
"112","bella","bat2",14400,129,0.0193,"f","f",9.916666667,14.33333333,0.00895833333333333
"113","bella","bat3",14400,0,0.1252,"f","f",9.916666667,12.35416667,0
"114","bella","bat4",25200,0,0,"f","f",9.916666667,7.5,0
"115","bella","cerce",68400,1582,0.5248,"f","f",9.916666667,13.64583333,0.0231286549707602
"116","bella","cerceson",7200,0,0.2961,"f","m",9.916666667,2.375,0
"117","bella","countess",61200,131,0,"f","f",9.916666667,17.20833333,0.00214052287581699
"118","bella","flapper",14400,5,0.2882,"f","m",9.916666667,3.416666667,0.000347222222222222
"119","bella","fuschia",7200,71,0.1693,"f","m",9.916666667,8.229166667,0.00986111111111111
"120","bella","gelfling",7200,0,0.1772,"f","m",9.916666667,13.70833333,0
"121","bella","gremlin",3600,1680,0.5,"f","m",9.916666667,1.020833333,0.466666666666667
"122","bella","helsing",7200,0,0.2496,"f","m",9.916666667,16.75,0
"123","bella","lily",36000,6088,0.5,"f","f",9.916666667,3.041666667,0.169111111111111
"124","bella","lucy",79200,568,0,"f","f",9.916666667,8.229166667,0.00717171717171717
"125","bella","marce",32400,11,0.3573,"f","f",9.916666667,1.479166667,0.000339506172839506
"126","bella","maribelo",7200,37,0,"f","m",9.916666667,5.333333333,0.00513888888888889
"127","bella","mina",46800,766,0,"f","f",9.916666667,9.270833333,0.0163675213675214
"128","bella","mya",82800,4009,0,"f","f",9.916666667,18.75,0.0484178743961353
"129","bella","parmalee",7200,0,0.1371,"f","m",9.916666667,7.166666667,0
"130","bella","pixus",7200,1388,0.5,"f","m",9.916666667,2.270833333,0.192777777777778
"131","bella","snow",28800,0,0,"f","f",9.916666667,1.354166667,0
"132","bella","speedster",7200,0,0.5909,"f","m",9.916666667,3.416666667,0
"133","bella","streblick",7200,0,0,"f","m",9.916666667,6.333333333,0
"134","bella","tequila",7200,0,0.0928,"f","m",9.916666667,15,0
"135","bella","thecount",14400,16,0,"f","m",9.916666667,6.416666667,0.00111111111111111
"136","bella","vampirella",75600,1659,0.1686,"f","f",9.916666667,6.416666667,0.0219444444444444
"137","bella","veronica",75600,1708,0,"f","f",9.916666667,8.229166667,0.0225925925925926
"138","bella","whimsey",7200,0,0,"f","m",9.916666667,2.854166667,0
"139","bella","zaria",46800,0,0.0759,"f","f",9.916666667,2.354166667,0
"140","cerce","bat2",14400,7,0.1668,"f","f",13.64583333,14.33333333,0.000486111111111111
"141","cerce","bat3",25200,1147,0.29,"f","f",13.64583333,12.35416667,0.045515873015873
"142","cerce","bat4",25200,1205,0.0327,"f","f",13.64583333,7.5,0.0478174603174603
"143","cerce","bella",68400,27,0.5248,"f","f",13.64583333,9.916666667,0.000394736842105263
"144","cerce","cerceson",7200,648,0.5,"f","m",13.64583333,2.375,0.09
"145","cerce","countess",61200,288,0,"f","f",13.64583333,17.20833333,0.00470588235294118
"146","cerce","flapper",14400,140,0.1143,"f","m",13.64583333,3.416666667,0.00972222222222222
"147","cerce","fuschia",7200,0,0.2488,"f","m",13.64583333,8.229166667,0
"148","cerce","gelfling",7200,0,0.2455,"f","m",13.64583333,13.70833333,0
"149","cerce","gremlin",3600,0,0.3642,"f","m",13.64583333,1.020833333,0
"150","cerce","helsing",7200,0,0.1162,"f","m",13.64583333,16.75,0
