bat1,bat2,wang19,ml19,pedigree wang19,pedigree m19
bat1,sheldon,-0.1126,0,-0.1126,0
bat1,snow,-0.1805,0,-0.1805,0
bat1,sonofzaria,-0.4812,0,-0.4812,0
bat1,speedster,0.0543,0.0865,0.0543,0.0865
bat1,streblick,-0.2816,0,-0.2816,0
bat1,tequila,-0.2373,0.0567,-0.2373,0.0567
bat1,thecount,-0.0529,0.0998,-0.0529,0.0998
bat1,vampirella,0.2957,0.4621,0.2957,0.4621
bat1,veronica,-0.0099,0.1814,-0.0099,0.1814
bat1,vlad,0.1,0.1083,0.1,0.1083
bat1,whimsey,-0.0353,0.182,-0.0353,0.182
bat1,zaria,0.0767,0.0059,0.0767,0.0059
bat1,zarison,-0.1286,0.0502,-0.1286,0.0502
bat2,artimis,-0.4812,0,-0.4812,0
bat2,barnabus,-0.3133,0.0691,-0.3133,0.0691
bat2,bat1,-0.1829,0.0885,-0.1829,0.0885
bat2,bat3,0.3636,0.4777,0.3636,0.4777
bat2,bat4,0.4381,0.6729,0.4381,0.6729
bat2,bat5,-0.1092,0.2241,-0.1092,0.2241
bat2,bat6,-0.0794,0.2058,-0.0794,0.2058
bat2,bat7,-0.0325,0.1411,-0.0325,0.1411
bat2,bella,-0.1634,0.0193,-0.1634,0.0193
bat2,cerce,-0.0429,0.1668,-0.0429,0.1668
bat2,cerceson,-0.051,0.0764,-0.051,0.0764
bat2,countess,-0.5607,0,-0.5607,0
bat2,desi,-0.5591,0.0173,-0.5591,0.0173
bat2,edward,-0.3156,0,-0.3156,0
bat2,flapper,-0.5037,0.0314,-0.5037,0.0314
bat2,fuschia,-0.4372,0,-0.4372,0
bat2,gelfling,-0.2131,0.0544,-0.2131,0.0544
bat2,gomez,0.1451,0.4545,0.1451,0.4545
bat2,gremlin,-0.2048,0.1182,-0.2048,0.1182
bat2,helsing,0.0785,0.1405,0.0785,0.1405
bat2,houdini,-0.5261,0.101,-0.5261,0.101
bat2,leonard,-0.4353,0,-0.4353,0
bat2,lily,-0.1459,0.0215,-0.1459,0.0215
bat2,lilyson,-0.4698,0.1282,-0.4698,0.1282
bat2,lucy,-0.1427,0.0834,-0.1427,0.0834
bat2,lucyson,-0.3515,0,-0.3515,0
bat2,marce,-0.5185,0.0883,-0.5185,0.0883
bat2,maribelo,-0.2063,0.2061,-0.2063,0.2061
bat2,mina,-0.6153,0.0054,-0.6153,0.0054
bat2,mya,-0.997,0,-0.997,0
bat2,parmalee,-0.5469,0.0508,-0.5469,0.0508
bat2,pixus,-0.4282,0,-0.4282,0
bat2,sheldon,-0.2746,0,-0.2746,0
bat2,snow,-0.2316,0.0631,-0.2316,0.0631
bat2,sonofzaria,-0.6417,0.0624,-0.6417,0.0624
bat2,speedster,0.0364,0.2049,0.0364,0.2049
bat2,streblick,-0.583,0,-0.583,0
bat2,tequila,-0.6355,0.0582,-0.6355,0.0582
bat2,thecount,-0.748,0,-0.748,0
bat2,vampirella,-0.1771,0,-0.1771,0
bat2,veronica,-0.5011,0,-0.5011,0
bat2,vlad,-0.3532,0.049,-0.3532,0.049
bat2,whimsey,-0.4746,0,-0.4746,0
bat2,zaria,-0.2023,0.0488,-0.2023,0.0488
bat2,zarison,-0.4428,0,-0.4428,0
bat3,artimis,-0.1295,0.1903,-0.1295,0.1903
bat3,barnabus,-0.1359,0.0999,-0.1359,0.0999
bat3,bat1,0.1096,0.253,0.1096,0.253
bat3,bat2,0.3636,0.4777,0.3636,0.4777
bat3,bat4,0.3278,0.4625,0.3278,0.4625
bat3,bat5,0.0329,0.2214,0.0329,0.2214
bat3,bat6,0.1561,0.349,0.1561,0.349
bat3,bat7,0.092,0.1504,0.092,0.1504
bat3,bella,0.0148,0.1252,0.0148,0.1252
bat3,cerce,0.1941,0.29,0.1941,0.29
bat3,cerceson,0.0794,0,0.0794,0
bat3,countess,-0.2527,0.036,-0.2527,0.036
bat3,desi,-0.2956,0.1499,-0.2956,0.1499
bat3,edward,-0.063,0.1451,-0.063,0.1451
bat3,flapper,-0.1322,0.1016,-0.1322,0.1016
bat3,fuschia,-0.4161,0.0403,-0.4161,0.0403
bat3,gelfling,-0.2012,0.0024,-0.2012,0.0024
bat3,gomez,0.2215,0.489,0.2215,0.489
bat3,gremlin,0.0049,0.284,0.0049,0.284
bat3,helsing,0.211,0.2688,0.211,0.2688
bat3,houdini,-0.3899,0.0645,-0.3899,0.0645
bat3,leonard,-0.1549,0,-0.1549,0
bat3,lily,-0.0648,0.0433,-0.0648,0.0433
bat3,lilyson,-0.4951,0,-0.4951,0
bat3,lucy,0.1251,0.2037,0.1251,0.2037
bat3,lucyson,0.0697,0.1618,0.0697,0.1618
bat3,marce,-0.3546,0,-0.3546,0
bat3,maribelo,-0.006,0.2316,-0.006,0.2316
bat3,mina,-0.313,0,-0.313,0
bat3,mya,-0.7646,0,-0.7646,0
bat3,parmalee,-0.0956,0.4079,-0.0956,0.4079
bat3,pixus,-0.25,0,-0.25,0
bat3,sheldon,0.009,0,0.009,0
bat3,snow,-0.0486,0.0745,-0.0486,0.0745
bat3,sonofzaria,-0.4626,0.081,-0.4626,0.081
bat3,speedster,-0.0214,0.1749,-0.0214,0.1749
bat3,streblick,-0.1637,0,-0.1637,0
bat3,tequila,-0.4458,0.1323,-0.4458,0.1323
bat3,thecount,-0.4581,0,-0.4581,0
bat3,vampirella,0.2069,0.1432,0.2069,0.1432
bat3,veronica,-0.315,0,-0.315,0
bat3,vlad,-0.2301,0.0181,-0.2301,0.0181
bat3,whimsey,-0.0039,0.1169,-0.0039,0.1169
bat3,zaria,0.0818,0.0228,0.0818,0.0228
bat3,zarison,-0.4167,0,-0.4167,0
bat4,artimis,-0.0493,0.1732,-0.0493,0.1732
bat4,barnabus,-0.1834,0,-0.1834,0
bat4,bat1,0.0168,0.2724,0.0168,0.2724
bat4,bat2,0.4381,0.6729,0.4381,0.6729
bat4,bat3,0.3278,0.4625,0.3278,0.4625
bat4,bat5,0.1736,0.3523,0.1736,0.3523
bat4,bat6,-0.368,0,-0.368,0
bat4,bat7,0.1002,0.1686,0.1002,0.1686
bat4,bella,-0.2349,0,-0.2349,0
bat4,cerce,0.0145,0.0327,0.0145,0.0327
bat4,cerceson,-0.1644,0,-0.1644,0
bat4,countess,-0.4709,0,-0.4709,0
bat4,desi,-0.5803,0,-0.5803,0
bat4,edward,-0.0087,0.3139,-0.0087,0.3139
bat4,flapper,-0.3142,0,-0.3142,0
bat4,fuschia,-0.2937,0,-0.2937,0
bat4,gelfling,-0.1935,0.0324,-0.1935,0.0324
bat4,gomez,0.3443,0.5313,0.3443,0.5313
bat4,gremlin,-0.0659,0.086,-0.0659,0.086
bat4,helsing,0.1845,0.2636,0.1845,0.2636
bat4,houdini,-0.5898,0.0267,-0.5898,0.0267
bat4,leonard,-0.3368,0,-0.3368,0
bat4,lily,-0.1249,0,-0.1249,0
bat4,lilyson,-0.3417,0,-0.3417,0
bat4,lucy,0.0696,0.1693,0.0696,0.1693
bat4,lucyson,-0.182,0,-0.182,0
bat4,marce,-0.5402,0,-0.5402,0
bat4,maribelo,-0.1547,0.1164,-0.1547,0.1164
bat4,mina,-0.6302,0,-0.6302,0
bat4,mya,-0.888,0,-0.888,0
bat4,parmalee,-0.1456,0.2731,-0.1456,0.2731
bat4,pixus,-0.3988,0,-0.3988,0
bat4,sheldon,-0.156,0,-0.156,0
bat4,snow,-0.2197,0.0244,-0.2197,0.0244
bat4,sonofzaria,-0.615,0,-0.615,0
bat4,speedster,-0.0071,0,-0.0071,0
bat4,streblick,-0.5701,0,-0.5701,0
bat4,tequila,-0.4743,0.086,-0.4743,0.086
bat4,thecount,-0.5805,0,-0.5805,0
bat4,vampirella,-0.0576,0,-0.0576,0
bat4,veronica,-0.4117,0,-0.4117,0
bat4,vlad,-0.3604,0,-0.3604,0
bat4,whimsey,-0.366,0.0368,-0.366,0.0368
bat4,zaria,-0.0147,0.1041,-0.0147,0.1041
bat4,zarison,-0.2279,0,-0.2279,0
bat5,artimis,-0.1828,0,-0.1828,0
bat5,barnabus,-0.1785,0.0338,-0.1785,0.0338
bat5,bat1,0.3252,0.4463,0.3252,0.4463
bat5,bat2,-0.1092,0.2241,-0.1092,0.2241
bat5,bat3,0.0329,0.2214,0.0329,0.2214
bat5,bat4,0.1736,0.3523,0.1736,0.3523
bat5,bat6,0.041,0.2571,0.041,0.2571
bat5,bat7,-0.1885,0,-0.1885,0
bat5,bella,-0.2667,0,-0.2667,0
bat5,cerce,-0.0273,0,-0.0273,0
bat5,cerceson,-0.0735,0.0062,-0.0735,0.0062
bat5,countess,0.0061,0.1407,0.0061,0.1407
bat5,desi,-0.6174,0,-0.6174,0
bat5,edward,-0.2664,0.0501,-0.2664,0.0501
bat5,flapper,-0.0517,0.0646,-0.0517,0.0646
bat5,fuschia,-0.2679,0.0438,-0.2679,0.0438
bat5,gelfling,-0.354,0,-0.354,0
bat5,gomez,-0.0859,0.3267,-0.0859,0.3267
bat5,gremlin,-0.4062,0,-0.4062,0
bat5,helsing,0.0552,0.0675,0.0552,0.0675
bat5,houdini,-0.6524,0.0577,-0.6524,0.0577
bat5,leonard,-0.2322,0.0513,-0.2322,0.0513
bat5,lily,-0.2068,0.1603,-0.2068,0.1603
bat5,lilyson,-0.3418,0.1191,-0.3418,0.1191
bat5,lucy,0.0339,0.0849,0.0339,0.0849
bat5,lucyson,-0.0922,0.0405,-0.0922,0.0405
bat5,marce,-0.3962,0,-0.3962,0
bat5,maribelo,-0.041,0.2753,-0.041,0.2753
bat5,mina,-0.3735,0.032,-0.3735,0.032
bat5,mya,-0.6336,0,-0.6336,0
bat5,parmalee,-0.1471,0.2147,-0.1471,0.2147
bat5,pixus,-0.2245,0,-0.2245,0
bat5,sheldon,-0.0039,0.0884,-0.0039,0.0884
bat5,snow,0.0431,0.3307,0.0431,0.3307
bat5,sonofzaria,-0.6138,0,-0.6138,0
bat5,speedster,-0.1152,0.107,-0.1152,0.107
bat5,streblick,-0.5626,0,-0.5626,0
bat5,tequila,-0.6014,0,-0.6014,0
bat5,thecount,-0.2632,0,-0.2632,0
bat5,vampirella,-0.0796,0,-0.0796,0
bat5,veronica,-0.2762,0.0268,-0.2762,0.0268
bat5,vlad,-0.1791,0.0792,-0.1791,0.0792
bat5,whimsey,-0.1479,0.1307,-0.1479,0.1307
bat5,zaria,-0.2498,0,-0.2498,0
bat5,zarison,-0.4904,0,-0.4904,0
bat6,artimis,-0.0396,0,-0.0396,0
bat6,barnabus,-0.1032,0.0058,-0.1032,0.0058
bat6,bat1,0.2579,0.3218,0.2579,0.3218
bat6,bat2,-0.0794,0.2058,-0.0794,0.2058
bat6,bat3,0.1561,0.349,0.1561,0.349
bat6,bat4,-0.368,0,-0.368,0
bat6,bat5,0.041,0.2571,0.041,0.2571
bat6,bat7,-0.2864,0,-0.2864,0
bat6,bella,-0.0882,0,-0.0882,0
bat6,cerce,-0.0592,0,-0.0592,0
bat6,cerceson,-0.1136,0,-0.1136,0
bat6,countess,0.1196,0.102,0.1196,0.102
bat6,desi,-0.4383,0.0568,-0.4383,0.0568
bat6,edward,-0.1594,0.0577,-0.1594,0.0577
bat6,flapper,0.1369,0.106,0.1369,0.106
bat6,fuschia,-0.0998,0,-0.0998,0
bat6,gelfling,-0.1334,0,-0.1334,0
bat6,gomez,-0.3058,0.0828,-0.3058,0.0828
bat6,gremlin,-0.2833,0,-0.2833,0
bat6,helsing,0.036,0,0.036,0
bat6,houdini,-0.2157,0,-0.2157,0
bat6,leonard,-0.1081,0,-0.1081,0
bat6,lily,-0.0467,0,-0.0467,0
bat6,lilyson,-0.307,0,-0.307,0
bat6,lucy,-0.1543,0,-0.1543,0
bat6,lucyson,-0.271,0.0221,-0.271,0.0221
bat6,marce,-0.2661,0,-0.2661,0
bat6,maribelo,0.2565,0.4105,0.2565,0.4105
bat6,mina,-0.1049,0.0795,-0.1049,0.0795
bat6,mya,-0.4708,0.0682,-0.4708,0.0682
bat6,parmalee,-0.2419,0,-0.2419,0
bat6,pixus,0.013,0,0.013,0
bat6,sheldon,0.0362,0.0158,0.0362,0.0158
bat6,snow,-0.212,0,-0.212,0
bat6,sonofzaria,-0.4664,0.0869,-0.4664,0.0869
bat6,speedster,-0.1255,0.0248,-0.1255,0.0248
bat6,streblick,-0.2681,0,-0.2681,0
bat6,tequila,-0.4165,0.0172,-0.4165,0.0172
bat6,thecount,-0.254,0,-0.254,0
bat6,vampirella,0.128,0,0.128,0
bat6,veronica,-0.1862,0.0123,-0.1862,0.0123
bat6,vlad,-0.0919,0.0904,-0.0919,0.0904
bat6,whimsey,-0.015,0,-0.015,0
bat6,zaria,0.0416,0,0.0416,0
bat6,zarison,-0.3772,0,-0.3772,0
bat7,artimis,-0.1484,0,-0.1484,0
bat7,barnabus,-0.1886,0,-0.1886,0
bat7,bat1,0.0538,0,0.0538,0
bat7,bat2,-0.0325,0.1411,-0.0325,0.1411
bat7,bat3,0.092,0.1504,0.092,0.1504
bat7,bat4,0.1002,0.1686,0.1002,0.1686
bat7,bat5,-0.1885,0,-0.1885,0
bat7,bat6,-0.2864,0,-0.2864,0
bat7,bella,0.3235,0.2786,0.3235,0.2786
bat7,cerce,0.183,0.1588,0.183,0.1588
bat7,cerceson,0.1509,0.0974,0.1509,0.0974
bat7,countess,-0.303,0,-0.303,0
bat7,desi,-0.0775,0.1515,-0.0775,0.1515
bat7,edward,-0.3774,0,-0.3774,0
bat7,flapper,0.0352,0.0716,0.0352,0.0716
bat7,fuschia,-0.3001,0,-0.3001,0
bat7,gelfling,-0.0138,0.0505,-0.0138,0.0505
bat7,gomez,-0.0468,0.1116,-0.0468,0.1116
bat7,gremlin,0.1014,0.241,0.1014,0.241
bat7,helsing,0.1266,0.0701,0.1266,0.0701
bat7,houdini,-0.618,0,-0.618,0
bat7,leonard,0.0375,0.0909,0.0375,0.0909
bat7,lily,0.2544,0.3111,0.2544,0.3111
bat7,lilyson,0.0235,0.0388,0.0235,0.0388
bat7,lucy,0.3001,0.2966,0.3001,0.2966
bat7,lucyson,0.0164,0.0212,0.0164,0.0212
bat7,marce,-0.0719,0,-0.0719,0
bat7,maribelo,-0.0414,0.0732,-0.0414,0.0732
bat7,mina,-0.2648,0,-0.2648,0
bat7,mya,-0.304,0.1299,-0.304,0.1299
bat7,parmalee,0.1417,0.2344,0.1417,0.2344
bat7,pixus,0.2412,0.1864,0.2412,0.1864
bat7,sheldon,-0.0044,0.0343,-0.0044,0.0343
bat7,snow,-0.2186,0.061,-0.2186,0.061
bat7,sonofzaria,-0.3848,0,-0.3848,0
bat7,speedster,-0.0238,0,-0.0238,0
bat7,streblick,0.0117,0.1424,0.0117,0.1424
bat7,tequila,0.0968,0.3644,0.0968,0.3644
bat7,thecount,-0.2098,0.0091,-0.2098,0.0091
bat7,vampirella,0.1587,0.072,0.1587,0.072
bat7,veronica,-0.4172,0,-0.4172,0
bat7,vlad,-0.2415,0,-0.2415,0
bat7,whimsey,-0.2192,0,-0.2192,0
bat7,zaria,0.1321,0,0.1321,0
bat7,zarison,-0.1379,0.0047,-0.1379,0.0047
bella,artimis,-0.0612,0,-0.0612,0
bella,barnabus,-0.0451,0,-0.0451,0
bella,bat1,-0.0145,0,-0.0145,0
bella,bat2,-0.1634,0.0193,-0.1634,0.0193
bella,bat3,0.0148,0.1252,0.0148,0.1252
bella,bat4,-0.2349,0,-0.2349,0
bella,bat5,-0.2667,0,-0.2667,0
bella,bat6,-0.0882,0,-0.0882,0
bella,bat7,0.3235,0.2786,0.3235,0.2786
bella,cerce,0.5323,0.5248,0.5323,0.5248
bella,cerceson,0.428,0.2961,0.428,0.2961
bella,countess,-0.3529,0,-0.3529,0
bella,desi,-0.3085,0.0635,-0.3085,0.0635
bella,edward,-0.2197,0.081,-0.2197,0.081
bella,flapper,0.22,0.2882,0.22,0.2882
bella,fuschia,0.1444,0.1693,0.1444,0.1693
bella,gelfling,0.1997,0.1772,0.1997,0.1772
bella,gomez,-0.2356,0.0357,-0.2356,0.0357
bella,gremlin,0.427,0.2952,0.5,0.5
bella,helsing,0.3267,0.2496,0.3267,0.2496
bella,houdini,-0.4814,0,-0.4814,0
bella,lily,0.692,1,0.5,0.5
bella,lilyson,0.5298,0.6521,0.5298,0.6521
bella,lucy,0.0673,0,0.0673,0
bella,lucyson,-0.1308,0,-0.1308,0
bella,marce,0.3422,0.3573,0.3422,0.3573
bella,maribelo,-0.2522,0,-0.2522,0
bella,mina,-0.2708,0,-0.2708,0
bella,mya,-0.4202,0,-0.4202,0
bella,parmalee,-0.0042,0.1371,-0.0042,0.1371
bella,pixus,0.382,0.3839,0.5,0.5
bella,sheldon,0.2062,0.1439,0.2062,0.1439
bella,snow,-0.2222,0,-0.2222,0
bella,sonofzaria,-0.3169,0.0201,-0.3169,0.0201
bella,speedster,0.4779,0.5909,0.4779,0.5909
bella,streblick,-0.0735,0,-0.0735,0
bella,tequila,-0.1191,0.0928,-0.1191,0.0928
bella,thecount,-0.0913,0,-0.0913,0
bella,vampirella,0.3345,0.1686,0.3345,0.1686
bella,leonard,0.1354,0.111,0.1354,0.111
bella,veronica,-0.2952,0,-0.2952,0
bella,vlad,-0.1008,0,-0.1008,0
bella,whimsey,-0.1443,0,-0.1443,0
bella,zaria,0.327,0.0759,0.327,0.0759
bella,zarison,0.094,0.1021,0.094,0.1021
cerce,artimis,0.0796,0,0.0796,0
cerce,barnabus,-0.0339,0.074,-0.0339,0.074
cerce,bat1,0.1079,0,0.1079,0
cerce,bat2,-0.0429,0.1668,-0.0429,0.1668
cerce,bat3,0.1941,0.29,0.1941,0.29
cerce,bat4,0.0145,0.0327,0.0145,0.0327
cerce,bat5,-0.0273,0,-0.0273,0
cerce,bat6,-0.0592,0,-0.0592,0
cerce,bat7,0.183,0.1588,0.183,0.1588
cerce,bella,0.5323,0.5248,0.5323,0.5248
cerce,cerceson,0.6293,0.6241,0.5,0.5
cerce,countess,-0.1686,0,-0.1686,0
cerce,desi,-0.4001,0.0322,-0.4001,0.0322
cerce,edward,-0.2048,0,-0.2048,0
cerce,flapper,0.1804,0.1143,0.1804,0.1143
cerce,fuschia,0.1698,0.2488,0.1698,0.2488
cerce,gelfling,0.1686,0.2455,0.1686,0.2455
cerce,gomez,0.115,0.0941,0.115,0.0941
cerce,gremlin,0.3035,0.3642,0.3035,0.3642
cerce,helsing,0.347,0.1162,0.347,0.1162
cerce,houdini,-0.2885,0,-0.2885,0
cerce,lily,0.5314,0.6607,0.5314,0.6607
cerce,lilyson,0.5042,0.574,0.5042,0.574
cerce,lucy,0.1352,0,0.1352,0
cerce,lucyson,-0.1494,0.0088,-0.1494,0.0088
cerce,marce,0.3837,0.29,0.5,0.5
cerce,maribelo,-0.2237,0,-0.2237,0
cerce,mina,-0.0925,0,-0.0925,0
cerce,mya,-0.3123,0.1125,-0.3123,0.1125
cerce,parmalee,-0.1965,0,-0.1965,0
cerce,pixus,0.0381,0,0.0381,0
cerce,sheldon,0.1654,0,0.1654,0
cerce,snow,-0.0855,0,-0.0855,0
cerce,sonofzaria,-0.2456,0,-0.2456,0
cerce,speedster,0.6223,1,0.5,0.5
cerce,streblick,0.1367,0.1493,0.1367,0.1493
cerce,tequila,-0.1991,0.0736,-0.1991,0.0736
cerce,thecount,-0.2319,0,-0.2319,0
cerce,vampirella,0.4611,0.3623,0.4611,0.3623
cerce,leonard,0.1092,0,0.1092,0
cerce,veronica,-0.1817,0,-0.1817,0
cerce,vlad,0.0935,0.1112,0.0935,0.1112
cerce,whimsey,-0.0396,0,-0.0396,0
cerce,zaria,0.1274,0,0.1274,0
cerce,zarison,0.1738,0,0.1738,0
