bat1,bat2,wang19,ml19,pedigree wang19,pedigree m19
cerceson,maribelo,-0.2199,0.0384,-0.2199,0.0384
cerceson,mina,-0.0895,0,-0.0895,0
cerceson,mya,-0.4358,0,-0.4358,0
cerceson,parmalee,0.0146,0.2459,0.0146,0.2459
cerceson,pixus,0.1854,0.0479,0.1854,0.0479
cerceson,sheldon,0.337,0.1094,0.337,0.1094
cerceson,snow,0.2864,0.368,0.2864,0.368
cerceson,sonofzaria,0.3508,0.519,0.3508,0.519
cerceson,speedster,0.4203,0.5277,0.4203,0.5277
cerceson,streblick,0.122,0,0.122,0
cerceson,tequila,-0.3931,0,-0.3931,0
cerceson,thecount,0.0867,0,0.0867,0
cerceson,vampirella,0.3016,0.168,0.3016,0.168
cerceson,veronica,0.1837,0.2869,0.1837,0.2869
cerceson,vlad,0.0132,0.1171,0.0132,0.1171
cerceson,whimsey,0.2255,0.1116,0.2255,0.1116
cerceson,zaria,0.2402,0,0.2402,0
cerceson,zarison,0.2343,0.4401,0.2343,0.4401
countess,artimis,-0.2437,0.008,-0.2437,0.008
countess,barnabus,-0.3179,0,-0.3179,0
countess,bat1,0.405,0.5445,0.405,0.5445
countess,bat2,-0.5607,0,-0.5607,0
countess,bat3,-0.2527,0.036,-0.2527,0.036
countess,bat4,-0.4709,0,-0.4709,0
countess,bat5,0.0061,0.1407,0.0061,0.1407
countess,bat6,0.1196,0.102,0.1196,0.102
countess,bat7,-0.303,0,-0.303,0
countess,bella,-0.3529,0,-0.3529,0
countess,cerce,-0.1686,0,-0.1686,0
countess,cerceson,0.2327,0.3948,0.2327,0.3948
countess,desi,-0.4054,0.0209,-0.4054,0.0209
countess,edward,-0.3686,0.0413,-0.3686,0.0413
countess,flapper,0.376,0.5409,0.5,0.5
countess,fuschia,-0.1241,0,-0.1241,0
countess,gelfling,0.0344,0.2345,0.0344,0.2345
countess,gomez,-0.3533,0.0683,-0.3533,0.0683
countess,gremlin,-0.1914,0,-0.1914,0
countess,helsing,-0.218,0.0111,-0.218,0.0111
countess,houdini,-0.2295,0,-0.2295,0
countess,lily,-0.2973,0,-0.2973,0
countess,lilyson,-0.2172,0,-0.2172,0
countess,lucy,0.1724,0.2319,0.1724,0.2319
countess,lucyson,0.2655,0.352,0.2655,0.352
countess,marce,0.112,0.1112,0.112,0.1112
countess,maribelo,0.0965,0.2303,0.0965,0.2303
countess,mina,-0.0671,0.0062,-0.0671,0.0062
countess,mya,-0.2879,0.0795,-0.2879,0.0795
countess,parmalee,0.0818,0.0211,0.0818,0.0211
countess,pixus,0.0321,0,0.0321,0
countess,sheldon,0.1556,0.1358,0.1556,0.1358
countess,snow,0.3603,0.4444,0.5,0.5
countess,sonofzaria,0.0023,0.3204,0.0023,0.3204
countess,speedster,-0.2184,0,-0.2184,0
countess,streblick,-0.232,0,-0.232,0
countess,tequila,-0.421,0,-0.421,0
countess,thecount,0.2871,0.3793,0.2871,0.3793
countess,vampirella,-0.0377,0.0904,-0.0377,0.0904
countess,leonard,0.0658,0.1291,0.0658,0.1291
countess,veronica,0.3005,0.4081,0.3005,0.4081
countess,vlad,-0.0335,0.1117,-0.0335,0.1117
countess,whimsey,0.2398,0.3144,0.2398,0.3144
countess,zaria,-0.0858,0,-0.0858,0
countess,zarison,-0.1413,0,-0.1413,0
desi,artimis,-0.3071,0.0533,-0.3071,0.0533
desi,barnabus,-0.1956,0.2288,-0.1956,0.2288
desi,bat1,-0.2882,0,-0.2882,0
desi,bat2,-0.5591,0.0173,-0.5591,0.0173
desi,bat3,-0.2956,0.1499,-0.2956,0.1499
desi,bat4,-0.5803,0,-0.5803,0
desi,bat5,-0.6174,0,-0.6174,0
desi,bat6,-0.4383,0.0568,-0.4383,0.0568
desi,bat7,-0.0775,0.1515,-0.0775,0.1515
desi,bella,-0.3085,0.0635,-0.3085,0.0635
desi,cerce,-0.4001,0.0322,-0.4001,0.0322
desi,cerceson,-0.5144,0,-0.5144,0
desi,countess,-0.4054,0.0209,-0.4054,0.0209
desi,edward,-0.3123,0.1558,-0.3123,0.1558
desi,flapper,-0.2346,0.0174,-0.2346,0.0174
desi,fuschia,-0.4743,0,-0.4743,0
desi,gelfling,-0.4338,0.0745,-0.4338,0.0745
desi,gomez,-0.7444,0,-0.7444,0
desi,gremlin,-0.1879,0.1195,-0.1879,0.1195
desi,helsing,-0.5412,0,-0.5412,0
desi,houdini,-0.5815,0,-0.5815,0
desi,lily,-0.424,0,-0.424,0
desi,lilyson,-0.3574,0.0991,-0.3574,0.0991
desi,lucy,-0.4117,0,-0.4117,0
desi,lucyson,-0.3278,0,-0.3278,0
desi,marce,-0.3532,0,-0.3532,0
desi,maribelo,-0.5186,0,-0.5186,0
desi,mina,-0.3103,0.0286,-0.3103,0.0286
desi,mya,-0.3821,0.0544,-0.3821,0.0544
desi,parmalee,-0.4795,0,-0.4795,0
desi,pixus,-0.2429,0.0798,-0.2429,0.0798
desi,sheldon,-0.3011,0.0845,-0.3011,0.0845
desi,snow,-0.3915,0.0674,-0.3915,0.0674
desi,sonofzaria,-0.4682,0.1186,-0.4682,0.1186
desi,speedster,-0.5707,0.0609,-0.5707,0.0609
desi,streblick,-0.4579,0,-0.4579,0
desi,tequila,-0.3145,0.1266,-0.3145,0.1266
desi,thecount,-0.3617,0.0637,-0.3617,0.0637
desi,vampirella,-0.2088,0,-0.2088,0
desi,leonard,-0.3386,0.0702,-0.3386,0.0702
desi,veronica,-0.4982,0.062,-0.4982,0.062
desi,vlad,-0.3538,0.0516,-0.3538,0.0516
desi,whimsey,-0.3689,0.032,-0.3689,0.032
desi,zaria,-0.1745,0.0986,-0.1745,0.0986
desi,zarison,-0.2329,0.0233,-0.2329,0.0233
edward,artimis,0.1376,0.3483,0.1376,0.3483
edward,barnabus,-0.1404,0.0725,-0.1404,0.0725
edward,bat1,-0.2389,0,-0.2389,0
edward,bat2,-0.3156,0,-0.3156,0
edward,bat3,-0.063,0.1451,-0.063,0.1451
edward,bat4,-0.0087,0.3139,-0.0087,0.3139
edward,bat5,-0.2664,0.0501,-0.2664,0.0501
edward,bat6,-0.1594,0.0577,-0.1594,0.0577
edward,bat7,-0.3774,0,-0.3774,0
edward,bella,-0.2197,0.081,-0.2197,0.081
edward,cerce,-0.2048,0,-0.2048,0
edward,cerceson,-0.3725,0,-0.3725,0
edward,countess,-0.3686,0.0413,-0.3686,0.0413
edward,desi,-0.3123,0.1558,-0.3123,0.1558
edward,flapper,-0.3585,0,-0.3585,0
edward,fuschia,0.0026,0.1812,0.0026,0.1812
edward,gelfling,-0.3303,0,-0.3303,0
edward,gomez,-0.3382,0,-0.3382,0
edward,gremlin,-0.2475,0,-0.2475,0
edward,helsing,0.2254,0.4137,0.2254,0.4137
edward,houdini,-0.5226,0,-0.5226,0
edward,lily,-0.0971,0.0407,-0.0971,0.0407
edward,lilyson,-0.4475,0,-0.4475,0
edward,lucy,-0.1985,0,-0.1985,0
edward,lucyson,-0.3798,0,-0.3798,0
edward,marce,-0.6514,0,-0.6514,0
edward,maribelo,-0.1192,0.1297,-0.1192,0.1297
edward,mina,-0.3786,0,-0.3786,0
edward,mya,-0.3991,0.1196,-0.3991,0.1196
edward,parmalee,-0.4995,0,-0.4995,0
edward,pixus,-0.2194,0,-0.2194,0
edward,sheldon,-0.0051,0.0392,-0.0051,0.0392
edward,snow,-0.4186,0.041,-0.4186,0.041
edward,sonofzaria,-0.6864,0,-0.6864,0
edward,speedster,-0.0261,0.0914,-0.0261,0.0914
edward,streblick,-0.1925,0.0853,-0.1925,0.0853
edward,tequila,-0.443,0.104,-0.443,0.104
edward,thecount,-0.2999,0.1439,-0.2999,0.1439
edward,vampirella,-0.0965,0,-0.0965,0
edward,leonard,-0.4516,0,-0.4516,0
edward,veronica,-0.3289,0,-0.3289,0
edward,vlad,-0.5025,0,-0.5025,0
edward,whimsey,-0.2355,0,-0.2355,0
edward,zaria,-0.0234,0.0056,-0.0234,0.0056
edward,zarison,-0.3441,0,-0.3441,0
flapper,artimis,-0.0153,0.2838,-0.0153,0.2838
flapper,barnabus,-0.1631,0,-0.1631,0
flapper,bat1,0.3795,0.6671,0.3795,0.6671
flapper,bat2,-0.5037,0.0314,-0.5037,0.0314
flapper,bat3,-0.1322,0.1016,-0.1322,0.1016
flapper,bat4,-0.3142,0,-0.3142,0
flapper,bat5,-0.0517,0.0646,-0.0517,0.0646
flapper,bat6,0.1369,0.106,0.1369,0.106
flapper,bat7,0.0352,0.0716,0.0352,0.0716
flapper,bella,0.22,0.2882,0.22,0.2882
flapper,cerce,0.1804,0.1143,0.1804,0.1143
flapper,cerceson,0.2063,0.2229,0.2063,0.2229
flapper,countess,0.376,0.5409,0.5,0.5
flapper,desi,-0.2346,0.0174,-0.2346,0.0174
flapper,edward,-0.3585,0,-0.3585,0
flapper,fuschia,-0.0054,0.1071,-0.0054,0.1071
flapper,gelfling,0.0102,0,0.0102,0
flapper,gomez,-0.5805,0,-0.5805,0
flapper,gremlin,0.0235,0.2711,0.0235,0.2711
flapper,helsing,-0.2322,0,-0.2322,0
flapper,houdini,-0.1999,0.1878,-0.1999,0.1878
flapper,lily,0.1799,0.2164,0.1799,0.2164
flapper,lilyson,0.0357,0.1637,0.0357,0.1637
flapper,lucy,0.0499,0.078,0.0499,0.078
flapper,lucyson,0.1147,0,0.1147,0
flapper,marce,0.319,0.474,0.319,0.474
flapper,maribelo,-0.0444,0.1591,-0.0444,0.1591
flapper,mina,0.0195,0.1918,0.0195,0.1918
flapper,mya,-0.3091,0.1182,-0.3091,0.1182
flapper,parmalee,0.2345,0.0953,0.2345,0.0953
flapper,pixus,0.0177,0.127,0.0177,0.127
flapper,sheldon,0.0242,0,0.0242,0
flapper,snow,-0.1319,0,0.25,0.25
flapper,sonofzaria,-0.0896,0,-0.0896,0
flapper,speedster,0.0085,0,0.0085,0
flapper,streblick,-0.236,0.1247,-0.236,0.1247
flapper,tequila,0.2437,0.3276,0.2437,0.3276
flapper,thecount,-0.0086,0,-0.0086,0
flapper,vampirella,0.2072,0.0505,0.2072,0.0505
flapper,leonard,0.1558,0.1518,0.1558,0.1518
flapper,veronica,-0.0468,0,-0.0468,0
flapper,vlad,-0.002,0.0792,-0.002,0.0792
flapper,whimsey,0.0067,0.1459,0.0067,0.1459
flapper,zaria,0.0737,0,0.0737,0
flapper,zarison,-0.1666,0.1399,-0.1666,0.1399
fuschia,artimis,0.155,0.2422,0.155,0.2422
fuschia,barnabus,0.0327,0.008,0.0327,0.008
fuschia,bat1,-0.105,0.1222,-0.105,0.1222
fuschia,bat2,-0.4372,0,-0.4372,0
fuschia,bat3,-0.4161,0.0403,-0.4161,0.0403
fuschia,bat4,-0.2937,0,-0.2937,0
fuschia,bat5,-0.2679,0.0438,-0.2679,0.0438
fuschia,bat6,-0.0998,0,-0.0998,0
fuschia,bat7,-0.3001,0,-0.3001,0
fuschia,bella,0.1444,0.1693,0.1444,0.1693
fuschia,cerce,0.1698,0.2488,0.1698,0.2488
fuschia,cerceson,-0.0203,0.0195,-0.0203,0.0195
fuschia,countess,-0.1241,0,-0.1241,0
fuschia,desi,-0.4743,0,-0.4743,0
fuschia,edward,0.0026,0.1812,0.0026,0.1812
fuschia,flapper,-0.0054,0.1071,-0.0054,0.1071
fuschia,gelfling,0.221,0.1733,0.221,0.1733
fuschia,gomez,-0.3589,0,-0.3589,0
fuschia,gremlin,0.2901,0.3323,0.2901,0.3323
fuschia,helsing,0.3916,0.4466,0.3916,0.4466
fuschia,houdini,-0.0675,0.0503,-0.0675,0.0503
fuschia,lily,0.3649,0.5313,0.3649,0.5313
fuschia,lilyson,0.5006,0.6601,0.5006,0.6601
fuschia,lucy,-0.1326,0,-0.1326,0
fuschia,lucyson,-0.1172,0.025,-0.1172,0.025
fuschia,marce,-0.0584,0.021,-0.0584,0.021
fuschia,maribelo,-0.396,0,-0.396,0
fuschia,mina,-0.0759,0.088,-0.0759,0.088
fuschia,mya,-0.1832,0.1149,-0.1832,0.1149
fuschia,parmalee,-0.3486,0,-0.3486,0
fuschia,pixus,0.0259,0.2324,0.0259,0.2324
fuschia,sheldon,-0.0024,0,-0.0024,0
fuschia,snow,-0.1578,0,-0.1578,0
fuschia,sonofzaria,-0.399,0,-0.399,0
fuschia,speedster,0.5063,0.6618,0.5063,0.6618
fuschia,streblick,-0.0502,0.048,-0.0502,0.048
fuschia,tequila,-0.5721,0,-0.5721,0
fuschia,thecount,-0.1541,0.0018,-0.1541,0.0018
fuschia,vampirella,0.1711,0.0705,0.1711,0.0705
fuschia,leonard,-0.3313,0,-0.3313,0
fuschia,veronica,0.0485,0.2939,0.0485,0.2939
fuschia,vlad,0.1279,0.1954,0.1279,0.1954
fuschia,whimsey,-0.2565,0.0816,-0.2565,0.0816
fuschia,zaria,0.0257,0.0273,0.0257,0.0273
fuschia,zarison,0.3131,0.4037,0.3131,0.4037
gelfling,artimis,-0.2715,0,-0.2715,0
gelfling,barnabus,-0.05,0,-0.05,0
gelfling,bat1,0.119,0.1259,0.119,0.1259
gelfling,bat2,-0.2131,0.0544,-0.2131,0.0544
gelfling,bat3,-0.2012,0.0024,-0.2012,0.0024
gelfling,bat4,-0.1935,0.0324,-0.1935,0.0324
gelfling,bat5,-0.354,0,-0.354,0
gelfling,bat6,-0.1334,0,-0.1334,0
gelfling,bat7,-0.0138,0.0505,-0.0138,0.0505
gelfling,bella,0.1997,0.1772,0.1997,0.1772
gelfling,cerce,0.1686,0.2455,0.1686,0.2455
gelfling,cerceson,0.2914,0.3437,0.2914,0.3437
gelfling,countess,0.0344,0.2345,0.0344,0.2345
gelfling,desi,-0.4338,0.0745,-0.4338,0.0745
gelfling,edward,-0.3303,0,-0.3303,0
gelfling,flapper,0.0102,0,0.0102,0
gelfling,fuschia,0.221,0.1733,0.221,0.1733
gelfling,gomez,-0.1466,0.0583,-0.1466,0.0583
gelfling,gremlin,0.7848,1.0169,0.7848,1.0169
gelfling,helsing,0.1246,0,0.1246,0
gelfling,houdini,-0.2343,0.0583,-0.2343,0.0583
gelfling,lily,0.4823,0.518,0.4823,0.518
gelfling,lilyson,0.5095,0.7117,0.5095,0.7117
gelfling,lucy,0.3041,0.4007,0.3041,0.4007
gelfling,lucyson,-0.0287,0,-0.0287,0
gelfling,marce,0.0916,0.0088,0.0916,0.0088
gelfling,maribelo,0.0592,0.1671,0.0592,0.1671
gelfling,mina,-0.2256,0,-0.2256,0
gelfling,mya,-0.5201,0,-0.5201,0
gelfling,parmalee,0.0818,0.258,0.0818,0.258
gelfling,pixus,0.1497,0.1176,0.1497,0.1176
gelfling,sheldon,0.0554,0.1038,0.0554,0.1038
gelfling,snow,-0.0158,0.0537,-0.0158,0.0537
gelfling,sonofzaria,-0.2574,0.0825,-0.2574,0.0825
gelfling,speedster,0.3373,0.3683,0.3373,0.3683
gelfling,streblick,-0.0696,0,-0.0696,0
gelfling,tequila,-0.4511,0,-0.4511,0
gelfling,thecount,-0.035,0.0565,-0.035,0.0565
gelfling,vampirella,0.2072,0.2646,0.2072,0.2646
gelfling,leonard,-0.0472,0,-0.0472,0
gelfling,veronica,0.3756,0.6308,0.3756,0.6308
gelfling,vlad,0.2161,0.221,0.2161,0.221
gelfling,whimsey,0.0437,0.2243,0.0437,0.2243
gelfling,zaria,0.0042,0,0.0042,0
gelfling,zarison,0.4493,0.5668,0.4493,0.5668
gomez,artimis,-0.2551,0,-0.2551,0
gomez,barnabus,-0.4343,0,-0.4343,0
gomez,bat1,-0.0213,0.3888,-0.0213,0.3888
gomez,bat2,0.1451,0.4545,0.1451,0.4545
gomez,bat3,0.2215,0.489,0.2215,0.489
gomez,bat4,0.3443,0.5313,0.3443,0.5313
gomez,bat5,-0.0859,0.3267,-0.0859,0.3267
gomez,bat6,-0.3058,0.0828,-0.3058,0.0828
gomez,bat7,-0.0468,0.1116,-0.0468,0.1116
gomez,bella,-0.2356,0.0357,-0.2356,0.0357
gomez,cerce,0.115,0.0941,0.115,0.0941
gomez,cerceson,0.1459,0.1697,0.1459,0.1697
gomez,countess,-0.3533,0.0683,-0.3533,0.0683
gomez,desi,-0.7444,0,-0.7444,0
gomez,edward,-0.3382,0,-0.3382,0
gomez,flapper,-0.5805,0,-0.5805,0
gomez,fuschia,-0.3589,0,-0.3589,0
gomez,gelfling,-0.1466,0.0583,-0.1466,0.0583
gomez,gremlin,-0.2772,0.0926,-0.2772,0.0926
gomez,helsing,0.0422,0.0769,0.0422,0.0769
gomez,houdini,-0.5855,0,-0.5855,0
gomez,lily,-0.2237,0,-0.2237,0
gomez,lilyson,-0.2942,0.0426,-0.2942,0.0426
gomez,lucy,0.225,0.3888,0.225,0.3888
gomez,lucyson,-0.291,0,-0.291,0
gomez,marce,-0.5386,0,-0.5386,0
gomez,maribelo,-0.0873,0.3413,-0.0873,0.3413
gomez,mina,-0.472,0,-0.472,0
gomez,mya,-0.8612,0,-0.8612,0
gomez,parmalee,0.0348,0.3964,0.0348,0.3964
gomez,pixus,-0.1878,0,-0.1878,0
gomez,sheldon,-0.1654,0.0618,-0.1654,0.0618
gomez,snow,-0.3447,0,-0.3447,0
gomez,sonofzaria,-0.5973,0,-0.5973,0
gomez,speedster,0.0014,0.0903,0.0014,0.0903
gomez,streblick,-0.3516,0.041,-0.3516,0.041
gomez,tequila,-0.7684,0,-0.7684,0
gomez,thecount,-0.324,0.0124,-0.324,0.0124
gomez,vampirella,-0.0174,0.1264,-0.0174,0.1264
gomez,leonard,-0.3444,0.0272,-0.3444,0.0272
gomez,veronica,-0.2483,0.0675,-0.2483,0.0675
gomez,vlad,-0.3846,0,-0.3846,0
gomez,whimsey,-0.1913,0.063,-0.1913,0.063
gomez,zaria,-0.0741,0.096,-0.0741,0.096
gomez,zarison,-0.1842,0,-0.1842,0
gremlin,artimis,0.16,0.0434,0.16,0.0434
gremlin,barnabus,0.4275,0.6074,0.4275,0.6074
gremlin,bat1,-0.0231,0.0647,-0.0231,0.0647
gremlin,bat2,-0.2048,0.1182,-0.2048,0.1182
gremlin,bat3,0.0049,0.284,0.0049,0.284
gremlin,bat4,-0.0659,0.086,-0.0659,0.086
gremlin,bat5,-0.4062,0,-0.4062,0
gremlin,bat6,-0.2833,0,-0.2833,0
gremlin,bat7,0.1014,0.241,0.1014,0.241
gremlin,bella,0.427,0.2952,0.5,0.5
gremlin,cerce,0.3035,0.3642,0.3035,0.3642
gremlin,cerceson,0.2712,0.4076,0.2712,0.4076
gremlin,countess,-0.1914,0,-0.1914,0
gremlin,desi,-0.1879,0.1195,-0.1879,0.1195
gremlin,edward,-0.2475,0,-0.2475,0
gremlin,flapper,0.0235,0.2711,0.0235,0.2711
gremlin,fuschia,0.2901,0.3323,0.2901,0.3323
gremlin,gelfling,0.7848,1.0169,0.7848,1.0169
gremlin,gomez,-0.2772,0.0926,-0.2772,0.0926
gremlin,helsing,0.1722,0.0662,0.1722,0.0662
gremlin,houdini,-0.0924,0,-0.0924,0
gremlin,leonard,-0.1471,0,-0.1471,0
gremlin,lily,0.6894,1,0.5,0.5
gremlin,lilyson,0.5609,1,0.5609,1
gremlin,lucy,-0.0734,0.0982,-0.0734,0.0982
gremlin,lucyson,0.1066,0.294,0.1066,0.294
gremlin,marce,0.1434,0.4272,0.1434,0.4272
gremlin,maribelo,-0.3295,0,-0.3295,0
gremlin,mina,0.0638,0,0.0638,0
gremlin,mya,-0.4299,0,-0.4299,0
gremlin,parmalee,0.0999,0.1602,0.0999,0.1602
gremlin,pixus,0.1604,0.0617,0.1604,0.0617
gremlin,sheldon,0.2781,0.6157,0.2781,0.6157
gremlin,snow,0.045,0.0617,0.045,0.0617
gremlin,sonofzaria,-0.3627,0,-0.3627,0
gremlin,speedster,0.2567,0.3693,0.2567,0.3693
gremlin,streblick,-0.0488,0,-0.0488,0
gremlin,tequila,-0.3097,0,-0.3097,0
gremlin,thecount,0.1228,0.2277,0.1228,0.2277
gremlin,vampirella,0.3114,0.886,0.3114,0.886
gremlin,veronica,0.0542,0.1818,0.0542,0.1818
gremlin,vlad,0.3461,0.4058,0.3461,0.4058
gremlin,whimsey,0.0079,0.2006,0.0079,0.2006
gremlin,zaria,0.2219,0.2343,0.2219,0.2343
gremlin,zarison,0.5369,0.8145,0.5369,0.8145
helsing,artimis,0.208,0.3103,0.208,0.3103
helsing,barnabus,0.01,0.0578,0.01,0.0578
helsing,bat1,-0.0304,0,-0.0304,0
helsing,bat2,0.0785,0.1405,0.0785,0.1405
helsing,bat3,0.211,0.2688,0.211,0.2688
helsing,bat4,0.1845,0.2636,0.1845,0.2636
helsing,bat5,0.0552,0.0675,0.0552,0.0675
helsing,bat6,0.036,0,0.036,0
helsing,bat7,0.1266,0.0701,0.1266,0.0701
helsing,bella,0.3267,0.2496,0.3267,0.2496
helsing,cerce,0.347,0.1162,0.347,0.1162
helsing,cerceson,0.2801,0.1207,0.2801,0.1207
helsing,countess,-0.218,0.0111,-0.218,0.0111
helsing,desi,-0.5412,0,-0.5412,0
helsing,edward,0.2254,0.4137,0.2254,0.4137
helsing,flapper,-0.2322,0,-0.2322,0
helsing,fuschia,0.3916,0.4466,0.3916,0.4466
helsing,gelfling,0.1246,0,0.1246,0
helsing,gomez,0.0422,0.0769,0.0422,0.0769
helsing,gremlin,0.1722,0.0662,0.1722,0.0662
helsing,houdini,-0.3962,0,-0.3962,0
helsing,lily,0.4439,0.4296,0.4439,0.4296
helsing,lilyson,0.4478,0.5232,0.4478,0.5232
helsing,lucy,0.1942,0.2827,0.1942,0.2827
helsing,lucyson,0.076,0.0904,0.076,0.0904
helsing,marce,0.0619,0.0023,0.0619,0.0023
helsing,maribelo,-0.0497,0,-0.0497,0
helsing,mina,-0.365,0,-0.365,0
helsing,mya,-0.5382,0,-0.5382,0
helsing,parmalee,-0.3141,0,-0.3141,0
helsing,pixus,0.1717,0.1331,0.1717,0.1331
helsing,sheldon,0.3077,0.1232,0.3077,0.1232
helsing,snow,0.0983,0.0712,0.0983,0.0712
helsing,sonofzaria,-0.3084,0.0887,-0.3084,0.0887
helsing,speedster,0.4407,0.3473,0.4407,0.3473
helsing,streblick,-0.1317,0.0085,-0.1317,0.0085
helsing,tequila,-0.5239,0,-0.5239,0
helsing,thecount,-0.1699,0.0486,-0.1699,0.0486
helsing,vampirella,0.2005,0.0216,0.2005,0.0216
helsing,leonard,-0.0608,0,-0.0608,0
helsing,veronica,-0.0316,0.0897,-0.0316,0.0897
helsing,vlad,-0.1805,0,-0.1805,0
helsing,whimsey,0.0017,0,0.0017,0
helsing,zaria,0.0751,0,0.0751,0
helsing,zarison,0.2909,0.3642,0.2909,0.3642
houdini,artimis,-0.1457,0.0237,-0.1457,0.0237
houdini,barnabus,-0.0664,0.0865,-0.0664,0.0865
houdini,bat1,-0.413,0,-0.413,0
houdini,bat2,-0.5261,0.101,-0.5261,0.101
houdini,bat3,-0.3899,0.0645,-0.3899,0.0645
houdini,bat4,-0.5898,0.0267,-0.5898,0.0267
houdini,bat5,-0.6524,0.0577,-0.6524,0.0577
houdini,bat6,-0.2157,0,-0.2157,0
houdini,bat7,-0.618,0,-0.618,0
houdini,bella,-0.4814,0,-0.4814,0
houdini,cerce,-0.2885,0,-0.2885,0
houdini,cerceson,-0.1323,0,-0.1323,0
houdini,countess,-0.2295,0,-0.2295,0
houdini,desi,-0.5815,0,-0.5815,0
houdini,edward,-0.5226,0,-0.5226,0
houdini,flapper,-0.1999,0.1878,-0.1999,0.1878
houdini,fuschia,-0.0675,0.0503,-0.0675,0.0503
houdini,gelfling,-0.2343,0.0583,-0.2343,0.0583
houdini,gomez,-0.5855,0,-0.5855,0
houdini,gremlin,-0.0924,0,-0.0924,0
houdini,helsing,-0.3962,0,-0.3962,0
houdini,leonard,-0.0052,0.119,-0.0052,0.119
houdini,lily,-0.26,0,-0.26,0
houdini,lilyson,-0.0636,0.0996,-0.0636,0.0996
houdini,lucy,-0.5426,0,-0.5426,0
houdini,lucyson,-0.1772,0.061,-0.1772,0.061
houdini,marce,-0.0827,0.093,-0.0827,0.093
houdini,maribelo,-0.5411,0,-0.5411,0
houdini,mina,0.3797,0.5,0.5,0.5
houdini,mya,-0.1329,0.2328,-0.1329,0.2328
houdini,parmalee,-0.2709,0,-0.2709,0
houdini,pixus,-0.3642,0,-0.3642,0
houdini,sheldon,-0.0785,0,-0.0785,0
houdini,snow,-0.0922,0,-0.0922,0
houdini,sonofzaria,-0.0732,0.1559,-0.0732,0.1559
houdini,speedster,-0.357,0,-0.357,0
houdini,streblick,0.1154,0.3728,0.1154,0.3728
houdini,tequila,-0.6197,0,-0.6197,0
houdini,thecount,-0.2292,0,-0.2292,0
houdini,vampirella,-0.105,0.0513,-0.105,0.0513
houdini,veronica,-0.2055,0.1058,-0.2055,0.1058
houdini,vlad,0.3384,0.4927,0.3384,0.4927
houdini,whimsey,-0.0616,0.1165,-0.0616,0.1165
houdini,zaria,-0.2326,0,-0.2326,0
houdini,zarison,-0.0509,0.0766,-0.0509,0.0766
leonard,bat1,0.0463,0.1481,0.0463,0.1481
leonard,bat2,-0.4353,0,-0.4353,0
leonard,bat3,-0.1549,0,-0.1549,0
leonard,bat4,-0.3368,0,-0.3368,0
leonard,bat5,-0.2322,0.0513,-0.2322,0.0513
leonard,bat6,-0.1081,0,-0.1081,0
leonard,bat7,0.0375,0.0909,0.0375,0.0909
leonard,cerceson,0.3339,0.2272,0.3339,0.2272
leonard,gremlin,-0.1471,0,-0.1471,0
leonard,houdini,-0.0052,0.119,-0.0052,0.119
leonard,lilyson,0.0355,0.1154,0.0355,0.1154
leonard,lucyson,0.0081,0,0.0081,0
leonard,marce,0.3537,0.2512,0.3537,0.2512
leonard,mina,0.4076,0.5,0.5,0.5
leonard,pixus,0.2573,0.0617,0.2573,0.0617
leonard,sheldon,0.3664,0.2611,0.3664,0.2611
leonard,snow,0.0577,0.0541,0.0577,0.0541
leonard,sonofzaria,0.1302,0.2186,0.1302,0.2186
leonard,whimsey,0.1845,0,0.1845,0
leonard,zaria,0.0866,0,0.0866,0
leonard,zarison,-0.0691,0.0067,-0.0691,0.0067
lily,artimis,-0.0343,0,-0.0343,0
lily,barnabus,0.1257,0.2329,0.1257,0.2329
lily,bat1,-0.074,0.0614,-0.074,0.0614
lily,bat2,-0.1459,0.0215,-0.1459,0.0215
lily,bat3,-0.0648,0.0433,-0.0648,0.0433
lily,bat4,-0.1249,0,-0.1249,0
lily,bat5,-0.2068,0.1603,-0.2068,0.1603
lily,bat6,-0.0467,0,-0.0467,0
lily,bat7,0.2544,0.3111,0.2544,0.3111
lily,bella,0.692,1,0.5,0.5
lily,cerce,0.5314,0.6607,0.5314,0.6607
lily,cerceson,0.431,0.5184,0.431,0.5184
lily,countess,-0.2973,0,-0.2973,0
lily,desi,-0.424,0,-0.424,0
lily,edward,-0.0971,0.0407,-0.0971,0.0407
lily,flapper,0.1799,0.2164,0.1799,0.2164
lily,fuschia,0.3649,0.5313,0.3649,0.5313
lily,gelfling,0.4823,0.518,0.4823,0.518
lily,gomez,-0.2237,0,-0.2237,0
lily,gremlin,0.6894,1,0.5,0.5
lily,helsing,0.4439,0.4296,0.4439,0.4296
lily,houdini,-0.26,0,-0.26,0
lily,lilyson,0.8715,1.0779,0.5,0.5
lily,lucy,0.0652,0.0663,0.0652,0.0663
lily,lucyson,-0.1801,0,-0.1801,0
lily,marce,0.3334,0.3135,0.3334,0.3135
lily,maribelo,-0.25,0.0483,-0.25,0.0483
lily,mina,-0.2553,0,-0.2553,0
lily,mya,-0.4619,0.0174,-0.4619,0.0174
lily,parmalee,-0.2158,0,-0.2158,0
lily,pixus,0.245,0.1728,0.245,0.1728
lily,sheldon,0.2878,0.0096,0.2878,0.0096
lily,snow,0.0235,0,0.0235,0
lily,sonofzaria,-0.3428,0,-0.3428,0
